source,target,weight
4230,56731,0.81733672638542
4230,57412,0.7422263053919339
4230,57646,0.7939323750038039
4230,104149,0.8010820842106885
4230,155938,0.8110527859023356
4230,155967,0.79191751707774
4230,156121,0.7092458710155983
4345,39423,0.7220941922297837
4345,92984,0.7579502340538634
4345,93150,0.7051710338991242
4345,93179,0.7544181020571961
4345,93275,0.7623617829180587
4345,93363,0.7024458902098109
4345,93410,0.7609914727509093
4345,93812,0.7051710338991242
4345,94163,0.7494721048830093
4345,94192,0.7316386369910557
4345,94350,0.7969569452300698
4345,94438,0.7386340112022075
4345,109878,0.7442899366193805
4345,185903,0.7068241080666425
4345,185944,0.7472805869915682
4345,186682,0.7068241080666425
4626,118837,0.7465884321361738
4759,85024,0.7765298572175474
4759,175175,0.8808390876090357
4759,177658,0.7934658247090882
4759,177772,0.8297659471453228
4759,177900,0.7871790245600125
4759,177981,0.7368462017278273
4759,177996,0.9291784861779948
4884,4985,0.7071067811865475
4884,6397,0.8944271909999159
4884,6548,0.8660254037844386
4884,6695,0.7071067811865475
4884,7007,0.7071067811865475
4884,7052,0.772987951680997
4884,117629,0.9128709291752768
4884,117809,0.9128709291752768
4884,117911,0.7071067811865475
4884,118007,0.8749999999999999
4884,118316,0.7606388292556647
4884,118360,0.7051561380739452
4884,118367,0.8642416214502247
4884,118810,0.9166666666666666
4985,6695,1.0
4985,7007,1.0
4985,117629,0.7745966692414834
4985,117911,1.0
4985,118007,0.7071067811865475
5229,37826,0.7661684321976232
5428,40914,0.791944257745713
5428,69306,0.7096341967439235
5963,32549,0.722690014145556
5963,87357,0.7370110783328383
5963,179561,0.7250946315338578
5963,179696,0.7095442295611901
6116,6832,0.8285098499285155
6116,48686,0.7203272257188403
6116,58768,0.7853059713227736
6116,71835,0.9395303522065067
6116,79552,0.8449258037837488
6116,79726,0.8725125761206665
6116,79757,0.7266512079546679
6116,80536,0.7937253933193771
6116,80843,0.8194074514114278
6116,174557,0.873326063219467
6116,174615,0.8725125761206665
6116,174625,0.7937253933193771
6116,174874,0.8823274360289286
6116,175171,0.7657219137918698
6116,175204,0.7567874686642695
6397,6548,0.9897624106974511
6397,6676,0.8105148404374487
6397,7052,0.8354192427777323
6397,7324,0.7897065047448728
6397,73043,0.7431925304401711
6397,117623,0.8999999999999999
6397,117629,0.9797958971132712
6397,117809,0.9797958971132712
6397,118007,0.9503288904374106
6397,118316,0.9449111825230679
6397,118360,0.8464803161443476
6397,118367,0.8432740427115678
6397,118810,0.8571593913749195
6548,6676,0.8603487979120255
6548,7052,0.8863712039391753
6548,7324,0.8669274776838323
6548,9276,0.751919354751148
6548,73043,0.7725751604160863
6548,117623,0.9395570710243919
6548,117629,0.9486832980505138
6548,117809,0.9838197164968291
6548,118007,0.9381941874331418
6548,118316,0.9759000729485332
6548,118360,0.8570991287109666
6548,118367,0.8618575020903774
6548,118810,0.849987896306949
6577,6676,0.7269472416079434
6577,7324,0.7418204762930307
6577,9276,0.7336364922806361
6577,117623,0.7217333961497452
6577,118316,0.7061878636037995
6676,7052,0.7899729766347626
6676,7324,0.9405093183953229
6676,9276,0.8426698389173095
6676,50464,0.7553901854791026
6676,73043,0.7450984785903528
6676,117623,0.977120668749591
6676,117809,0.8382579549439206
6676,118316,0.9496720250495044
6676,118360,0.780253368345966
6676,118367,0.7499361662180457
6695,7007,1.0
6695,117629,0.7745966692414834
6695,117911,1.0
6695,118007,0.7071067811865475
6832,71835,0.7693278089212447
6832,77879,0.7244179326244428
6832,79726,0.7254762501100117
6832,79757,0.8018816176521412
6832,79968,0.7970326518936066
6832,80536,0.7071067811865476
6832,80843,0.7455177977753625
6832,174557,0.7679817174694635
6832,174615,0.7254762501100117
6832,174625,0.7071067811865476
6832,175004,0.916593725498407
7007,117629,0.7745966692414834
7007,117911,1.0
7007,118007,0.7071067811865475
7052,7324,0.8867669102760503
7052,9276,0.7973711995523283
7052,73043,0.7312784635592638
7052,117623,0.871428692897462
7052,117629,0.7644414155000194
7052,117809,0.8820477871154072
7052,118007,0.8535075299811009
7052,118316,0.8873910930281943
7052,118360,0.8200064876459474
7052,118367,0.9210969822079822
7052,118810,0.880347389414469
7265,16047,0.7176459273574358
7265,16575,0.7563273848398724
7265,17289,0.8371106149135583
