source,target,weight
19970,19974,0.9128709291752769
19970,19982,0.8944271909999159
19970,19995,1.0
19970,126826,0.7071067811865475
19970,126827,0.7071067811865475
19970,126831,1.0
19970,126833,1.0
19970,126836,0.8751899489873673
19970,126837,1.0
19970,126838,0.7745966692414834
19970,126841,1.0
19970,126842,1.0
19970,126845,1.0
19970,126849,1.0
19970,126850,1.0
19970,126851,1.0
19972,19974,0.8082903768654761
19972,19975,1.0
19972,19989,0.7431605356175384
19972,19992,1.0
19972,126823,0.7378647873726218
19972,126827,0.8944271909999159
19972,126828,0.8031948401350149
19972,126829,0.9899494936611665
19972,126836,0.8302780872259966
19972,126838,0.9797958971132712
19974,19975,0.8082903768654761
19974,19982,0.816496580927726
19974,19992,0.8082903768654761
19974,19995,0.9128709291752769
19974,126827,0.9036961141150639
19974,126828,0.786315892581874
19974,126829,0.8573214099741123
19974,126831,0.9128709291752769
19974,126833,0.9128709291752769
19974,126836,0.9320913722597881
19974,126837,0.9128709291752769
19974,126838,0.8956685895029602
19974,126841,0.9128709291752769
19974,126842,0.9128709291752769
19974,126845,0.9128709291752769
19974,126849,0.9128709291752769
19974,126850,0.9128709291752769
19974,126851,0.9128709291752769
19975,19989,0.7431605356175384
19975,19992,1.0
19975,126823,0.7378647873726218
19975,126827,0.8944271909999159
19975,126828,0.8031948401350149
19975,126829,0.9899494936611665
19975,126836,0.8302780872259966
19975,126838,0.9797958971132712
19982,19995,0.8944271909999159
19982,126831,0.8944271909999159
19982,126833,0.8944271909999159
19982,126836,0.7827936876641306
19982,126837,0.8944271909999159
19982,126841,0.8944271909999159
19982,126842,0.8944271909999159
19982,126845,0.8944271909999159
19982,126849,0.8944271909999159
19982,126850,0.8944271909999159
19982,126851,0.8944271909999159
19984,60069,0.7934290749981974
19984,60110,0.7380599419837606
19984,60119,0.7577953096603883
19984,60160,0.7577953096603883
19984,60164,0.7577953096603883
19984,60181,0.8268139856400354
19984,60250,0.723720225059416
19984,60252,0.7118428086499631
19984,60288,0.8123292090846919
19984,60412,0.7577953096603883
19984,60452,0.8123292090846919
19984,60542,0.7208596596154889
19984,60683,0.8421780282219672
19984,60727,0.8421780282219672
19984,82409,0.7501791068958481
19984,157206,0.7577953096603883
19984,157223,0.7885320077401548
19984,157256,0.8421780282219672
19984,157278,0.8166062859605664
19984,157368,0.8328137000574922
19984,157395,0.76459355169463
19984,157404,0.7695328429786118
19984,157429,0.7179991054106656
19984,157464,0.76459355169463
19984,157496,0.7977584042503185
19984,157512,0.8264140602657818
19984,157532,0.7577953096603883
19984,157562,0.8343051773187974
19984,157574,0.7380599419837606
19984,157623,0.8195603687313019
19984,157626,0.76459355169463
19989,19992,0.7431605356175384
19989,126823,0.7552393716649511
19989,126829,0.7087429931617286
19992,126823,0.7378647873726218
19992,126827,0.8944271909999159
19992,126828,0.8031948401350149
19992,126829,0.9899494936611665
19992,126836,0.8302780872259966
19992,126838,0.9797958971132712
19995,126826,0.7071067811865475
19995,126827,0.7071067811865475
19995,126831,1.0
19995,126833,1.0
19995,126836,0.8751899489873673
19995,126837,1.0
19995,126838,0.7745966692414834
19995,126841,1.0
19995,126842,1.0
19995,126845,1.0
19995,126849,1.0
19995,126850,1.0
19995,126851,1.0
19997,35452,0.7474474469488896
19997,60093,0.7009996372327816
19997,82409,0.8193173937708983
19997,82556,0.7845573930760598
19997,176408,0.7072980720817515
19999,35560,0.7001823739090608
19999,140627,0.7117621247117498
19999,140661,0.7180775695389162
19999,140675,0.7283764712583225
20001,20012,0.703221549687725
20001,20018,0.7648608285345718
20001,20030,0.7207865369594517
20001,126861,0.7412605989088269
20002,20012,0.9110371354294616
20002,20018,0.7308231864827834
20002,20028,0.9197240319972856
20002,20030,0.8981004187394179
20002,20032,0.965256875905446
20002,60171,0.9290961694245039
20002,126855,0.7303944126465414
20002,126857,0.766965482923812
20002,126861,0.8015873015873016
20002,126874,0.7985957062499248
20002,126881,0.8210528092652567
20002,126894,0.7601053953670156
20005,73469,0.7295741778686101
20005,73478,0.769038708036539
20005,73484,0.7339903602012979
20005,148420,0.7316021166433979
20005,166027,0.8200181475262035
20005,167995,0.7313071356019154
20007,20008,1.0
20007,20009,1.0
20007,20016,1.0
20007,20021,0.7330166661378313
20007,20024,1.0
20007,20034,1.0
20007,126853,1.0
20007,126865,1.0
20007,126866,1.0
20007,126868,1.0
20007,126871,1.0
20007,126872,1.0
20007,126875,1.0
20007,126878,0.9284766908852594
20007,126880,1.0
20007,126882,0.9128709291752769
20007,126883,1.0
20007,126886,1.0
20007,126889,1.0
20007,126891,1.0
20007,126892,1.0
20007,126893,1.0
20007,126894,0.8307471607356973
20008,20009,1.0
20008,20016,1.0
20008,20021,0.7330166661378313
20008,20024,1.0
20008,20034,1.0
20008,126853,1.0
20008,126865,1.0
20008,126866,1.0
20008,126868,1.0
20008,126871,1.0
20008,126872,1.0
20008,126875,1.0
20008,126878,0.9284766908852594
20008,126880,1.0
20008,126882,0.9128709291752769
20008,126883,1.0
20008,126886,1.0
20008,126889,1.0
20008,126891,1.0
20008,126892,1.0
