source,target,weight
4598,8708,0.7071211844661567
4598,69370,0.7014955538500774
4598,69478,0.7973284053141819
4598,120071,0.7119220139698821
4598,165164,0.7814540331179476
4713,6651,0.7800628662344963
4713,8635,0.7627847420858958
4713,26214,0.7093349478299769
4713,26774,0.7296376575219514
4713,38393,0.7790339227047295
4713,59023,0.8562617812722462
4713,66603,0.7996258355276508
4713,66692,0.7930959153517805
4713,66739,0.808856120559221
4713,80660,0.7043954693909037
4713,89691,0.7672387264793523
4713,90183,0.7607281194115142
4713,90192,0.7299974930808177
4713,90374,0.7814108771027857
4713,90450,0.8010559809092179
4713,90553,0.7327033924205164
4713,90822,0.799061437210576
4713,91254,0.7518736897812157
4713,91400,0.7985668911783739
4713,179732,0.7401800068891569
4713,182808,0.8009201348473249
4713,183145,0.7991563425765211
4713,183172,0.7018047428297088
4713,183414,0.7893870617826652
4772,5209,0.7715167498104595
4772,5558,1.0
4772,5623,0.8320502943378437
4772,6419,1.0
4772,117931,0.8944271909999159
4772,118136,0.7071067811865475
4931,24551,0.7711353345962325
4931,55771,0.9027454329868394
4931,68379,0.7952646200757083
4931,69577,0.7883601278205824
5209,5558,0.7715167498104595
5209,5562,0.9759000729485332
5209,5623,0.898717034272917
5209,6419,0.7715167498104595
5209,6665,0.9136985548476932
5209,117545,0.7632263669950036
5209,117833,0.916341933823035
5209,118136,0.8728715609439694
5209,118241,0.7563787698880864
5209,118469,0.8434347122457898
5558,5623,0.8320502943378437
5558,6419,1.0
5558,117931,0.8944271909999159
5558,118136,0.7071067811865475
5562,5623,0.8770580193070293
5562,6665,0.956182887467515
5562,49237,0.7353910524340095
5562,117545,0.8050764858994132
5562,117833,0.9797958971132712
5562,118136,0.8944271909999159
5562,118241,0.8552359741197582
5562,118469,0.8395701571521512
5562,118800,0.7115680669648201
5623,6419,0.8320502943378437
5623,6665,0.9434563530497265
5623,117833,0.8593378488473195
5623,117931,0.7442084075352507
5623,118136,0.9805806756909201
5623,118469,0.779666547283578
6333,31540,0.7399176279425872
6333,93647,0.8039887575784606
6333,108132,0.7178049194865025
6333,108307,0.9524003477754933
6333,108328,0.9072875683637008
6333,108386,0.7028803762995218
6333,108625,0.8990229253768995
6333,108732,0.864263397068391
6333,109439,0.864263397068391
6333,109482,0.8381163549234939
6333,109591,0.9244862339418405
6333,109647,0.9422820023149021
6333,109655,0.8836362419740835
6333,109702,0.9247176302871055
6333,109757,0.8711871219403557
6333,110036,0.9055140275567218
6333,143689,0.7084859132401539
6333,197622,0.9138934138296122
6333,197901,0.9047780932904974
6333,197984,0.856208576449576
6333,198102,0.8617308607698656
6333,198151,0.871613980178518
6333,198303,0.864263397068391
6333,198823,0.9315466730700241
6333,198849,0.8152307566280886
6333,198936,0.920157538397846
6333,198979,0.9499679070317291
6333,199000,0.8148769172359114
6333,199078,0.864263397068391
