source,target,weight
46,1201,1.0
46,113979,1.0
46,114086,1.0
46,114222,1.0
46,114459,1.0
193,338,0.9356014857063997
193,818,0.8775269089525566
193,1668,0.7399317039956662
193,113844,0.90748521297303
193,113952,0.9144253506028681
193,114168,0.8116794499134277
193,114307,0.975375551294653
193,114363,0.8203779897140279
193,114554,0.914659120760047
265,1246,0.7456724396890251
338,643,0.7666467021687486
338,818,0.9304842103984708
338,1246,0.754966591782298
338,1668,0.866927983918708
338,113844,0.9897433186107869
338,113952,0.9845264800162247
338,114168,0.9590244476323128
338,114307,0.9843091327750998
338,114363,0.9460015123662904
338,114554,0.8728715609439696
533,60543,0.7139134309532745
533,60639,0.7105220425667763
533,60673,0.7031469872781493
643,818,0.8141524824871561
643,1246,0.8304416251581217
643,1668,0.7740393318553918
643,113844,0.8154860188917822
643,113952,0.7700735755168656
643,114168,0.8036231169251911
643,114307,0.700232120896931
643,114363,0.8220212869788792
818,1246,0.9220108971042064
818,1398,0.7499778483349283
818,1668,0.846995940618384
818,113844,0.9669875568304561
818,113952,0.9327424597265424
818,114168,0.8648999641877364
818,114307,0.9198662110077999
818,114363,0.9083160740629986
818,114554,0.9238697708743118
1188,14899,0.772726560727089
1188,87504,0.7863507369751671
1188,88494,0.7473096819909014
1188,125138,0.712531824359345
1188,180061,0.7779364352533772
1188,180080,0.7526836059037411
1188,180267,0.7473096819909014
1188,180274,0.8780578588816019
1196,62762,0.7373362826843629
1196,62845,0.7470584425748664
1196,63049,0.7213320103880461
1196,140643,0.7138023106304361
1196,161627,0.7248796819539993
1201,113979,1.0
1201,114086,1.0
1201,114222,1.0
1201,114459,1.0
1246,1398,0.7842587759132709
1246,1668,0.7838185266367834
1246,113844,0.8406260324897478
1246,113952,0.7770702648253297
1246,114168,0.7518787809212091
1246,114307,0.7027335269253518
1246,114363,0.8173274880862355
1246,114554,0.7619558779654323
1398,1464,0.8226286138089958
1398,1668,0.7284781475727427
1398,114363,0.788777503491765
1464,114363,0.7740716706590157
1615,14754,0.7301489428831305
1615,15036,0.8873749708655552
1615,15137,0.7766247026704896
1615,15171,0.9010479281903297
1615,15842,0.9198719052711738
1615,15970,0.9025636966441603
1615,48313,0.7230293769805768
1615,52977,0.8872801219899938
1615,125057,0.8430603733371019
1668,113844,0.8880213151158615
1668,113952,0.8731201728340933
1668,114168,0.8881387316594284
1668,114307,0.812633611007045
1668,114363,0.9227436134756438
1668,114554,0.740443303354526
1790,14593,0.8037914904345604
