source,target,weight
45,60531,0.7227214455226693
50,35156,0.7609024691094035
134,141,0.7364320053631007
134,833,0.9013530829991622
134,1090,0.7583235172037885
134,1134,0.7620631067223673
134,1502,0.712193206706178
134,35156,0.7080673940206952
134,114136,0.8910356745195515
134,114429,0.8797450093807668
141,255,0.7100286666731314
141,884,0.7147825918986273
141,1134,0.7504137619483213
141,114136,0.7344532938224524
192,15713,0.7179883351305353
192,25393,0.8432323614697803
192,33506,0.7279860869177852
192,35585,0.7667198641341227
192,35644,0.7058533906576296
192,35806,0.7026996704896399
192,35868,0.7166755131736913
192,140604,0.8070439286697488
192,140638,0.7820356443192591
192,140659,0.7540735855258367
248,320,1.0
248,555,0.8944271909999159
248,796,1.0
248,845,1.0
248,956,1.0
248,999,0.7453559924999299
248,1052,1.0
248,1541,0.8017837257372732
248,1685,1.0
248,1724,1.0
248,1728,1.0
248,114118,0.8241633836921342
248,114255,1.0
248,114289,0.7071067811865475
248,114404,1.0
248,114536,1.0
248,114546,1.0
248,114597,1.0
320,555,0.8944271909999159
320,796,1.0
320,845,1.0
320,956,1.0
320,999,0.7453559924999299
320,1052,1.0
320,1541,0.8017837257372732
320,1685,1.0
320,1724,1.0
320,1728,1.0
320,114118,0.8241633836921342
320,114255,1.0
320,114289,0.7071067811865475
320,114404,1.0
320,114536,1.0
320,114546,1.0
320,114597,1.0
493,21550,0.7109070764889884
555,796,0.8944271909999159
555,845,0.8944271909999159
555,956,0.8944271909999159
555,1052,0.8944271909999159
555,1541,0.7171371656006362
555,1685,0.8944271909999159
555,1724,0.8944271909999159
555,1728,0.8944271909999159
555,114118,0.7371541402007414
555,114255,0.8944271909999159
555,114289,0.9486832980505137
555,114404,0.8944271909999159
555,114536,0.8944271909999159
555,114546,0.8944271909999159
555,114597,0.8944271909999159
630,991,0.8684731784164815
630,999,0.7562286850024618
630,1134,0.8566102437697238
630,1255,0.8690791973418812
630,1269,0.8995824336397943
630,1345,0.9418226817439155
630,1502,0.7157987566378241
630,1541,0.7068147692884098
630,113845,0.8360182456256516
630,114029,0.8388708522564412
630,114147,0.7933571344043869
630,114491,0.8360182456256516
630,114492,0.7678887804824026
777,21870,0.754811624293022
777,76332,0.7699775894158973
777,76335,0.7247304331566977
777,76359,0.7605822740803568
777,170741,0.7725760436294309
780,30750,0.7007462598289268
796,845,1.0
796,956,1.0
796,999,0.7453559924999299
796,1052,1.0
796,1541,0.8017837257372732
796,1685,1.0
796,1724,1.0
796,1728,1.0
796,114118,0.8241633836921342
796,114255,1.0
796,114289,0.7071067811865475
796,114404,1.0
796,114536,1.0
796,114546,1.0
796,114597,1.0
833,1090,0.7446865313311611
833,32281,0.7846857370864959
833,114136,0.8159838211708343
833,114429,0.9612516082714497
845,956,1.0
845,999,0.7453559924999299
845,1052,1.0
845,1541,0.8017837257372732
845,1685,1.0
845,1724,1.0
845,1728,1.0
845,114118,0.8241633836921342
845,114255,1.0
845,114289,0.7071067811865475
845,114404,1.0
845,114536,1.0
845,114546,1.0
845,114597,1.0
936,16238,0.7003544304390725
936,17660,0.7476058305314217
936,21561,0.774287478545686
936,52730,0.7116330365922204
936,60551,0.753578558759
936,145622,0.7429208145429032
936,157622,0.7138205507670884
937,1090,0.7306446926090466
956,999,0.7453559924999299
956,1052,1.0
956,1541,0.8017837257372732
956,1685,1.0
956,1724,1.0
956,1728,1.0
956,114118,0.8241633836921342
956,114255,1.0
956,114289,0.7071067811865475
956,114404,1.0
956,114536,1.0
956,114546,1.0
956,114597,1.0
966,41082,0.7178084599885931
966,75008,0.7128380572386241
966,170100,0.7024203417154734
991,1134,0.8360582263216688
991,1255,0.8979504630472839
991,1269,0.8417814636830264
991,1345,0.9283374656250328
991,1502,0.7361935052738017
991,113845,0.9548471324177127
991,114029,0.8449338367563959
991,114045,0.7054675271564458
991,114147,0.7423814703897457
991,114491,0.9548471324177127
991,114492,0.8300077165138593
999,1052,0.7453559924999299
999,1255,0.9237604307034012
999,1269,0.956182887467515
999,1345,0.8684135696738725
999,1541,0.9960238411119948
999,1685,0.7453559924999299
999,1724,0.7453559924999299
999,1728,0.7453559924999299
999,113845,0.8451542547285165
999,114029,0.9730323027961713
999,114147,0.8432740427115679
999,114255,0.7453559924999299
999,114404,0.7453559924999299
999,114491,0.8451542547285165
999,114492,0.9428090415820634
999,114536,0.7453559924999299
999,114546,0.7453559924999299
999,114597,0.7453559924999299
1052,1541,0.8017837257372732
1052,1685,1.0
1052,1724,1.0
1052,1728,1.0
1052,114118,0.8241633836921342
1052,114255,1.0
1052,114289,0.7071067811865475
1052,114404,1.0
1052,114536,1.0
1052,114546,1.0
1052,114597,1.0
1090,1134,0.751240080255678
1090,114136,0.7196232716459056
1090,114429,0.7752148858634154
1134,1255,0.8099493797455993
1134,1269,0.7918007433452815
1134,1345,0.847174916906806
1134,1502,0.7628563489492107
1134,113845,0.8197048313256958
1134,114029,0.7767406212511461
1134,114136,0.8065267325781504
1134,114147,0.7256870346719471
1134,114491,0.8197048313256958
