source,target,weight
1980,21222,0.7091495569247054
1980,27863,0.7018370631390337
1980,28092,0.7118990203913782
1980,29338,0.734212264154468
1980,42130,0.7360834587362417
1980,60803,0.7054238761136923
1980,60868,0.7161199741272034
1980,116521,0.7072431702387402
1980,131281,0.7800633721513629
1980,132235,0.8373598034487412
1980,157715,0.750169529433125
1980,157775,0.714380078255589
1980,157893,0.7035973025341636
1980,158037,0.7168976679167962
1980,158123,0.733459189352169
1980,158827,0.7434726055151697
2045,2308,0.7297733510353158
2045,2736,0.7337723634163795
2045,2924,0.8779073940034974
2045,3009,0.7359814981623733
2045,102092,0.7101502550278607
2045,116426,0.7533982801317687
2045,116480,0.9181278706824755
2045,116595,0.8408340250712663
2045,116794,0.7117479684778328
2045,116851,0.9080215881861315
2051,20531,0.7850650811884046
2051,60795,0.7069017210082212
2066,2103,0.9570202978345286
2066,2190,1.0
2066,2323,1.0
2066,2338,1.0
2066,2361,1.0
2066,2838,1.0
2066,2935,0.7559289460184544
2066,116418,0.7745966692414834
2066,116467,1.0
2066,116483,1.0
2066,116542,1.0
2066,116561,1.0
2066,116589,1.0
2066,116602,1.0
2066,116628,1.0
2066,116718,1.0
2066,116747,1.0
2070,102285,0.7445490113259722
2072,47601,0.7047613061544312
2081,102079,0.7361918007797035
2081,171983,0.7573128232211839
2103,2190,0.9570202978345286
2103,2323,0.9570202978345286
2103,2338,0.9570202978345286
2103,2361,0.9570202978345286
2103,2838,0.9570202978345286
2103,2935,0.7234393450603225
2103,116418,0.7413047350991183
2103,116467,0.9570202978345286
2103,116483,0.9570202978345286
2103,116542,0.9570202978345286
2103,116561,0.9570202978345286
2103,116589,0.9570202978345286
2103,116602,0.9570202978345286
2103,116628,0.9570202978345286
2103,116718,0.9570202978345286
2103,116747,0.9570202978345286
2104,21405,0.7998240604893572
2104,27571,0.7342440181137956
2104,28450,0.7096421049340761
2104,29253,0.7124818995195348
2104,47454,0.8626244564042093
2104,51695,0.7063498348230591
2162,2195,0.8492582238109738
2162,2281,0.7040111350380676
2162,101849,0.7901494330312037
2162,101944,0.7842147167578669
2162,102011,0.7476309016255963
2162,102087,0.8142104581466648
2162,102141,0.7621852714546891
2162,102160,0.8828803715526379
2162,102211,0.7476309016255963
2162,102220,0.7910976469647987
2162,102231,0.7769712536487652
2162,116851,0.7092664447566847
2162,192884,0.787117281445479
2162,192904,0.7476309016255963
2162,192906,0.7388176557069271
2162,192924,0.793032380981153
2162,192926,0.7943578329771961
2162,192954,0.8022238451161098
2178,91678,0.7490053160901785
2182,28042,0.7590910203122155
2182,42541,0.7098011728746946
2182,46707,0.8231307598356475
2182,76544,0.7908417506079264
2182,81124,0.7164779306465596
2182,82111,0.7367899555039087
2182,96394,0.8010821744425443
2182,96402,0.8599130164739093
2182,96415,0.8273913738137723
2182,96440,0.8344403617868833
2182,113108,0.8828214562534779
2182,129598,0.897430934222196
2182,130018,0.727580174740659
2182,130534,0.7651300149727389
2182,130610,0.7269921548813941
2182,132222,0.8035624070096291
2182,132276,0.8593926138903871
2182,132402,0.9185352368404822
2182,132427,0.7489893151631402
2182,132429,0.8273913738137723
2182,132438,0.8623176327348052
2182,132518,0.8273913738137723
2182,132521,0.8453015602783803
2182,132628,0.8910721240689309
2182,132723,0.8353037177487934
2182,132737,0.7525766947068777
2182,132808,0.7295068259936706
2182,132974,0.9304394572921084
2182,133069,0.7993360076321754
2182,133071,0.9111688969847077
2182,133113,0.7160175992257494
2182,133139,0.8013802663803856
2182,133149,0.8869201403169858
2182,133163,0.9476076640216582
2182,133215,0.8799637965199708
2182,133389,0.7019682706051921
2182,150978,0.9391903092886732
2190,2323,1.0
2190,2338,1.0
2190,2361,1.0
2190,2838,1.0
2190,2935,0.7559289460184544
2190,116418,0.7745966692414834
2190,116467,1.0
2190,116483,1.0
2190,116542,1.0
2190,116561,1.0
2190,116589,1.0
2190,116602,1.0
2190,116628,1.0
2190,116718,1.0
2190,116747,1.0
2195,2281,0.727672620964283
2195,101849,0.8435783324044382
2195,101944,0.8134089739403123
2195,102011,0.7680879095955226
2195,102087,0.9177460201449753
2195,102141,0.7413164289384866
2195,102160,0.935415400722851
2195,102211,0.7680879095955226
2195,102220,0.871369617807039
2195,102231,0.9731024524745534
2195,192884,0.8905538851747491
2195,192904,0.7680879095955226
2195,192906,0.7376681239995067
2195,192924,0.7323430870511817
2195,192926,0.8471092994716053
2195,192954,0.9241857320598149
2241,117293,0.7817948539476108
2258,159120,0.7496989054205564
2258,159485,0.7153726576983137
2258,159796,0.724589054920071
2258,159898,0.7247117925909872
2281,102087,0.7168808329527097
2281,102220,0.7003724308895328
2281,192884,0.7018689531777583
2281,192954,0.718573131935414
2284,22539,0.7180647267959883
2284,22630,0.7876736881215861
2284,29211,0.9255220416343541
2284,112363,0.8470914084819123
2284,130713,0.7544741155009396
2284,130997,0.9127568379041362
2284,131845,0.7852231098116436
2284,132975,0.7374555137932418
2284,133503,0.757950998208398
2284,133545,0.8350286593960392
2284,133592,0.8145646898713458
2284,133651,0.7178042689435008
2284,133666,0.8109534832249641
2284,133796,0.8618615926345999
2284,134213,0.737370583988147
2284,134304,0.9602324217751893
2284,134325,0.8075030658609199
2284,134448,0.8055456642003044
2284,134478,0.7340165520615695
2308,2370,0.7936866400350087
2308,2631,0.9207733196252786
2308,2736,0.9813857045707453
2308,2924,0.9215269313126572
2308,2935,0.8705715001320139
2308,3009,0.9717872924354188
2308,102092,0.9209119015845361
2308,116418,0.8779104835019378
2308,116426,0.9679156359102158
2308,116450,0.9291991459771888
2308,116480,0.8759662338422165
2308,116520,0.9094326083734474
2308,116576,0.9538209664765319
2308,116595,0.8382815598636821
2308,116794,0.9823845301506764
2308,116868,0.785937127544594
2323,2338,1.0
2323,2361,1.0
2323,2838,1.0
2323,2935,0.7559289460184544
2323,116418,0.7745966692414834
2323,116467,1.0
2323,116483,1.0
2323,116542,1.0
2323,116561,1.0
2323,116589,1.0
2323,116602,1.0
2323,116628,1.0
2323,116718,1.0
2323,116747,1.0
2338,2361,1.0
2338,2838,1.0
2338,2935,0.7559289460184544
2338,116418,0.7745966692414834
2338,116467,1.0
2338,116483,1.0
2338,116542,1.0
2338,116561,1.0
2338,116589,1.0
2338,116602,1.0
2338,116628,1.0
2338,116718,1.0
2338,116747,1.0
2361,2838,1.0
2361,2935,0.7559289460184544
2361,116418,0.7745966692414834
2361,116467,1.0
2361,116483,1.0
2361,116542,1.0
2361,116561,1.0
2361,116589,1.0
2361,116602,1.0
2361,116628,1.0
2361,116718,1.0
2361,116747,1.0
2370,2631,0.7336739820667777
2370,2736,0.7774630169639036
2370,2924,0.7254563846614088
2370,3009,0.7852070532987566
2370,102092,0.7391404949863534
2370,116418,0.7006490497453707
2370,116426,0.7767045573879123
2370,116450,0.7348094335140692
2370,116480,0.7112867591590194
2370,116520,0.7272727272727274
2370,116576,0.762770071396474
2370,116794,0.7817359599705717
2401,28700,0.7115595620410823
2401,76480,0.7923572004599722
2401,76570,0.7453927762651483
2401,76800,0.8373530725918819
2401,172400,0.8075677652281301
2401,172406,0.7210353425220947
2401,172448,0.7996497484369052
2401,172527,0.7862794669359544
2440,21416,0.7302642403224503
2440,29483,0.7153583000187841
2440,132282,0.7591808637257553
2440,133301,0.7179191099805302
2476,3805,0.7994957716382491
2476,27793,0.730655906895362
2476,28791,0.9113910579304949
2476,29519,0.80884101947235
2476,42801,0.8979666081733283
2476,43004,0.7033963826329893
2476,88709,0.8002672195348053
2476,88711,0.9231168970415249
2476,91805,0.8190657052773694
2476,130460,0.7045023274707932
2476,130596,0.7666302596432606
2476,130612,0.7832531605383665
2476,130617,0.8810743675001838
2476,132934,0.7613014067586984
2476,133155,0.8750718511884276
2476,134272,0.9289110756848292
2476,151890,0.7781414755271987
2476,152458,0.8790426012819775
2476,152786,0.8050764858994133
2476,157673,0.7637105675215856
2476,157767,0.8632327242239237
2476,158185,0.7079705552525896
2476,158571,0.8512078665152941
2476,159068,0.9513097080452878
2476,160230,0.8528567979543528
2476,180359,0.8106650795170961
2476,180416,0.9002972741348612
2476,180699,0.7723533950442064
2476,180708,0.750530024800641
2476,180724,0.8224996062253748
2476,180751,0.7919260220468792
2476,180760,0.750530024800641
2476,180786,0.8883560958163855
2476,180819,0.8779910861386554
2476,180878,0.8434526109143461
2476,180964,0.7174300539794393
2476,180976,0.723026701939551
2476,181005,0.848864438172765
2476,181083,0.9233677724597534
2476,181131,0.7522235945079454
2476,181207,0.7156431768486938
2476,181244,0.7395605264448085
2518,21408,0.7109793086328082
2518,22329,0.8419471729073873
2518,22434,0.8137292304383978
2518,27863,0.7357176307436928
2518,28092,0.8241334384700506
2518,28632,0.7253928543034084
2518,28888,0.7288832260639201
2518,29338,0.8069260176305005
2518,42130,0.7074231086004577
2518,47660,0.7562401071676359
2518,51849,0.7827518656860591
2518,51860,0.7735269243173489
2518,60772,0.8585386363596563
2518,60778,0.7085484354855733
2518,60798,0.7883422032104469
2518,60803,0.7443461194120178
2518,60840,0.7565782858205016
2518,60870,0.8462043995244803
2518,60884,0.7725633383652792
2518,60887,0.7979394674596975
2518,77218,0.8045549724708326
2518,81857,0.7830473311537913
2518,82196,0.7796033959889695
2518,91926,0.7822594858456219
2518,101865,0.7704515316375596
2518,112402,0.76417858159124
2518,116521,0.7800697052152327
2518,129795,0.7725550859882451
2518,129839,0.7020820644118514
2518,131070,0.8709208419671346
2518,131176,0.7059926340922581
2518,131281,0.7823596543153122
2518,131324,0.8055149892556545
2518,132235,0.7017690117814462
2518,132367,0.7872685402224191
2518,132542,0.8807303978059929
2518,132678,0.8506922289472095
2518,132821,0.7578533920818724
2518,132886,0.8403958945454489
2518,134435,0.7822777585145304
2518,148281,0.7757988529023359
2518,151255,0.7842592617393274
2518,157636,0.7805144516205489
2518,157638,0.7843891759886702
2518,157646,0.8110576378577383
2518,157656,0.8084035058919266
2518,157660,0.7502023566676149
2518,157792,0.805346661799464
2518,157805,0.8049051183280176
2518,157808,0.7542493257899178
2518,157810,0.7572595340312993
2518,157814,0.7161076232236976
2518,157835,0.7529479008329485
2518,157888,0.7510403618906468
2518,157896,0.7922444607010611
2518,157902,0.7907896411184699
2518,157951,0.7690762227242381
2518,158088,0.7308546063312993
2518,158099,0.8020702259383122
2518,158133,0.7328566681497358
2518,158251,0.7369083035153622
2518,158266,0.7238901101663753
2518,158303,0.7988563718693052
2518,158442,0.7740950420674939
2518,158505,0.7997316420972471
2518,158652,0.7145793304953656
2518,158835,0.7387925475609952
2518,158925,0.7182067983200663
2518,158969,0.7586838797690737
2541,3209,0.7327068267737782
2541,3468,0.7761627005352693
2541,42749,0.7839828814943092
2541,51567,0.7365684107808034
2541,82117,0.7098947835379722
2541,112417,0.7358032176745063
2541,112632,0.7946200309087055
2541,112791,0.7354327183857131
2541,112803,0.7101447534851697
2541,112883,0.7358032176745063
2541,113078,0.7004307061981395
2541,131696,0.7706349919348474
2541,148188,0.7311579395190517
2541,199540,0.746723466900412
2541,199826,0.7705447901977084
2579,102285,0.7424950732742671
2631,2736,0.8365931017628182
2631,2924,0.7806310960071126
2631,2935,0.9197090092274488
2631,3009,0.8449261121262418
2631,102092,0.7555881560337362
2631,116418,0.9633639890708996
2631,116426,0.8286131549199289
2631,116450,0.8659998252448543
2631,116480,0.7494383014014059
2631,116520,0.9293203772845852
2631,116576,0.9746794344808964
2631,116595,0.7647581281878806
2631,116670,0.7492686492653553
2631,116794,0.8411910241920599
2631,116868,0.8873409830255644
2642,95276,0.7042299089592663
2642,130713,0.7715455783416669
2642,132975,0.7640922467338468
2642,134325,0.7012501729718236
2642,134620,0.7054648687556982
2652,21436,0.8107628898524245
2652,28092,0.8182818888874853
2652,29338,0.8219114473210889
2652,60780,0.736974893051368
2652,60803,0.7730821062431674
2652,116521,0.7482464607511988
2652,129839,0.7091187958242677
2652,132367,0.7705147097378168
2652,132678,0.7005613473343762
2652,132821,0.7832381760669579
2652,134219,0.7174452478406517
2652,147896,0.7329939287648435
2652,151255,0.7008219886176726
2652,157715,0.737825367266224
2652,157720,0.7078835329629766
2652,157775,0.7138982246032569
2652,157810,0.7694790623980968
2652,157896,0.7344073302223363
2652,158088,0.7135600501039477
2652,158827,0.7274156065321749
2684,27582,0.8677520354910487
2684,27892,0.8725535865204848
2684,28113,0.850394946643516
2684,28187,0.7818516544405579
2684,28382,0.7526710885778407
2684,28484,0.8715418736950126
2684,28572,0.7064172571013568
2684,28611,0.7140133599843428
2684,134434,0.7408173842714735
2684,137546,0.8836182301684407
2684,137754,0.7770588879689909
2684,137820,0.8137199584310646
2684,137918,0.7542526035418251
2703,117245,0.7252100589868512
2703,152413,0.7221465759837263
2703,181090,0.7327858501584849
2736,2924,0.9446350081599632
2736,2935,0.7796811755854504
2736,3009,0.9809978553208085
2736,102092,0.9507082380237134
2736,116418,0.7723042798723956
2736,116426,0.9899147975115157
2736,116450,0.9156917035433402
2736,116480,0.8972411203918983
2736,116520,0.8396600583210159
2736,116576,0.8806428986221468
2736,116595,0.8251369970070346
2736,116794,0.9967441085689461
2736,116851,0.7217846032396961
2828,2891,0.7010374122812839
2828,116920,0.7000973056484024
2838,2935,0.7559289460184544
2838,116418,0.7745966692414834
2838,116467,1.0
2838,116483,1.0
2838,116542,1.0
2838,116561,1.0
2838,116589,1.0
2838,116602,1.0
2838,116628,1.0
2838,116718,1.0
2838,116747,1.0
2902,102097,0.9128709291752769
2902,102110,0.9128709291752769
2902,102117,0.9128709291752769
2902,102126,0.9128709291752769
2902,102174,0.9128709291752769
2902,102194,0.8197822947299414
2902,102222,0.9128709291752769
2902,102276,0.9128709291752769
2902,102281,0.9128709291752769
2902,192881,0.9128709291752769
2902,192882,0.9128709291752769
2902,192895,0.9128709291752769
2902,193008,0.9128709291752769
2902,193012,0.9128709291752769
2902,193024,0.9128709291752769
2924,2935,0.7040575786186289
2924,3009,0.9139701119083966
2924,102092,0.8828507200445753
2924,116418,0.701404214049177
2924,116426,0.9322883603042226
2924,116450,0.8602032886364844
2924,116480,0.9574575032326389
2924,116520,0.7722600223814997
2924,116576,0.8099531445617963
2924,116595,0.887029172235809
2924,116794,0.932996209912368
2924,116851,0.8185456887056317
2935,3009,0.7703288865196432
2935,102092,0.7227180837445736
2935,116418,0.9759000729485332
2935,116426,0.7344108062365223
